03010000;https://www.drmartens.com/us/en/kids/boots/c/03010000;Kids' Boots | Kids | Dr. Martens Official;"
                    Smaller boots for smaller soles. Our kids boots are built with your little rebels in mind. Shaping the next generation of freethinkers, one pair of boots at a time. ";Kid's Boots;/us/en/,/us/en/kids/c/03000000;Home,KIDS
03020000;https://www.drmartens.com/us/en/kids/shoes/c/03020000;Kids' Shoes | Shoes for Men & Women | Dr. Martens Official;"
                    Smaller shoes for smaller soles. Our kids shoes are built with your little rebels in mind. Shaping the next generation of freethinkers, one pair of shoes at a time. ";Kid's Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
02010500;https://www.drmartens.com/us/en/mens/boots/chelsea-boots/c/02010500;Men's Chelsea Boots | Men's Boots | Dr. Martens Official;"
                    The Chelsea boot dates back to the Victorian era. But it wasn't until the 1970s that it was given a rugged DMs overhaul. In the decades since, we've produced a diverse range of men's Chelsea boots, from trend-inspired contemporary takes to our Original 2976 in Smooth leather. ";Men's Chelsea Boots;/us/en/,/us/en/mens/c/02000000,/us/en/mens/boots/c/02010000;Home,MENS,BOOTS
02010600;https://www.drmartens.com/us/en/mens/boots/ankle-boots/c/02010600;Men's Ankle Boots | Men's Boots | Dr. Martens Official;"
                    Styles with an instantly recognizable Dr. Martens silhoutte. Made for the self-expressive individual. Shop men's ankle boots that are modern, comfortable, and iconic. ";Men's Ankle Boots;/us/en/,/us/en/mens/c/02000000,/us/en/mens/boots/c/02010000;Home,MENS,BOOTS
01040000;https://www.drmartens.com/us/en/womens/heels/c/01040000;Women's Heels | Dr. Martens Official;"
                    Heels, the DMs way. Our range of heeled boots and shoes are designed with AirWar soles and built with our renowned durability. Shop our collection of women's heels below. ";Women's Heels;/us/en/,/us/en/womens/c/01000000;Home,WOMENS
01021200;https://www.drmartens.com/us/en/womens/shoes/mary-jane-shoes/c/01021200;Women's Mary Janes | Dr. Martens Official;"
                    Our 8065 Mary Jane shoes subvert the tradition of impractical women's footwear. Made from tough DM's leathers and sat on our renowned AirWair sole, they're built with Docs-level durability and a hardy Goodyear welt. Here you'll find a range of designs for adults and children, including our Original 8065 in Smooth leather. ";Women's Mary Jane Shoes;/us/en/,/us/en/womens/c/01000000,/us/en/womens/shoes/c/01020000;Home,WOMENS,SHOES
03110000;https://www.drmartens.com/us/en/kids/best-sellers/c/03110000;Kids' Best Sellers | Kids | Dr. Martens Official;"
                    Shop a range of our bestselling children's boots, shoes and sandals: a collection of popular styles for rebellious little feet. Inspired by some of our most recognizable designs including the 1460 and the 1461, this is where you'll find their first pair. ";Kid's Best Sellers;/us/en/,/us/en/kids/c/03000000;Home,KIDS
04310000;https://www.drmartens.com/us/en/unisex/made-in-england/c/04310000;Made in England | Dr. Martens Official;"
                    Crafted using original techniques, our Made in England range includes some of our most iconic pieces handcrafted in our original Wollaston factory. Manufactured in Northamptonshire by experienced factory cobblers, our Made in England collection features Originals such as the 1460 and 1461 shoe. ";Made In England;/us/en/,/us/en/unisex/c/04000000;Home,UNISEX
02060000;https://www.drmartens.com/us/en/mens/vegan/c/02060000;Men's Vegan Shoes & Accessories | Dr. Martens Official;"
                     ";Men's Vegan Shoes & Accessories;/us/en/,/us/en/mens/c/02000000;Home,MENS
08380000;https://www.drmartens.com/us/en/sale/mens/c/08380000;Sale: Men's | Sale | Dr. Martens Official;"
                    Check out our men's sale. We've got stacks of Docs on offer so get them before they're gone. Shop our clearance below. ";Men's Sale;/us/en/,/us/en/sale/c/08000000;Home,SALE
