25586001;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26086001;;5 t,6 t,7 t,8 t,9 t,10 t,11 f;
26255001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
25947001;6 t,7 t,8 t,9 t,10 t,11 f,12 t,13 f,14 f;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 f;
26378001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
25970001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26206001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26205001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26203001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26202001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26318009;;5 f,6 f,7 f,8 f,9 f,10 f,11 t;
26705029;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26698001;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
25964600;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
25965001;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26126001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26128207;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26181001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26216001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26218001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26328001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26180001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
26104001;;5 t,6 t,7 t,8 t,9 t,10 t,11 f;
26230001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26210001;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26104115;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26102001;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26204001;6 t,7 f,8 t,9 t,10 t,11 t,12 f,13 t,14 t;5 t,6 t,7 t,8 f,9 t,10 t,11 t,12 t;
26210601;;5 t,6 t,7 t,8 t,9 t,10 f,11 t;
26011115;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26207001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
26056040;;5 t,6 t,7 t,8 t,9 f,10 t,11 t;
26058040;;5 t,6 t,7 t,8 t,9 t,10 f,11 t;
26057040;;5 t,6 t,7 t,8 t,9 f,10 t,11 t;
26309600;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26102115;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
26351100;;;
26133355;;;
26342355;;;11 t,12 t,13 t,1 t,2 t,3 t,4 t
26178001;;;
26341001;;;11 t,12 t,13 t,1 t,2 t,3 t,4 t
26127983;;;
25980207;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
25999207;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
25982001;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
25992001;9 t,10 t,11 t,12 t,13 t,14 t,15 t,16 t;;
25981214;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
25983001;7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;;
25995808;9 t,10 t,11 t,12 t,13 t,14 t,15 t,16 t;;
26349100;;;
26330100;;;11 t,12 t,13 t,1 t,2 t,3 t,4 t
26030983;;;11 f,12 f,13 f,1 f,2 f,3 f,4 t
26133355;;;
26178001;;;
26342355;;;11 t,12 t,13 t,1 t,2 t,3 t,4 t
26341001;;;11 t,12 t,13 t,1 t,2 t,3 t,4 t
26349100;;;
26330100;;;11 t,12 t,13 t,1 t,2 t,3 t,4 t
26351100;;;
26030983;;;11 f,12 f,13 f,1 f,2 f,3 f,4 t
26127983;;;
11821006;;5 t,6 t,7 t,8 t,9 t,10 t,11 t;
11822006;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t,15 t,16 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
15265001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
11838002;6 f,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t,15 t,16 t;5 t,6 t,7 f,8 t,9 t,10 t,11 t,12 t;
11853001;6 t,7 t,8 t,9 t,10 t,11 t,12 t,13 t,14 t,15 t,16 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
15265100;6 t,7 t,8 t,9 t,10 t,11 t,12 f,13 t,14 t;5 t,6 t,7 t,8 t,9 t,10 t,11 t,12 t;
